lat,lon,year,yield_maize,temperature
43.75,11.75,1982,9.251022,18.613775
43.75,11.75,1983,9.876991,18.25495
43.75,11.75,1984,10.55283,16.382141
43.75,11.75,1985,10.486564,18.76377
43.75,11.75,1986,12.218849,18.099987
43.75,11.75,1987,11.250535,18.25331
43.75,11.75,1988,11.657367,18.235193
43.75,11.75,1989,10.70632,17.1168
43.75,11.75,1990,10.970482,18.0186
43.75,11.75,1991,9.933992,18.01365
43.75,11.75,1992,12.615363,18.433086
43.75,11.75,1993,11.639522,18.681509
43.75,11.75,1994,12.417731,19.391516
43.75,11.75,1995,14.230786,17.107815
43.75,11.75,1996,14.397116,17.065113
43.75,11.75,1997,15.186582,18.35752
43.75,11.75,1998,15.046177,19.065033
43.75,11.75,1999,15.251589,18.892374
43.75,11.75,2000,14.730982,18.993322
43.75,11.75,2001,14.2068615,18.248398
43.75,11.75,2002,14.005683,17.750557
43.75,11.75,2003,12.172968,20.982573
43.75,11.75,2004,14.208736,17.979172
43.75,11.75,2005,13.564902,18.39833
43.75,11.75,2006,12.963544,18.819973
43.75,11.75,2007,14.689947,18.39799
43.75,11.75,2008,15.607417,18.302198
43.75,11.75,2009,14.288763,19.428345
43.75,11.75,2010,14.812893,17.877592
43.75,11.75,2011,15.698774,19.407284
43.75,11.75,2012,14.073611,19.44576
43.75,11.75,2013,15.180315,18.251804
43.75,11.75,2014,17.504501,17.58481
43.75,11.75,2015,16.101912,19.621922
43.75,11.75,2016,17.160381,18.638208
43.75,12.25,1982,9.097686,18.797573
43.75,12.25,1983,9.234997,18.400543
43.75,12.25,1984,10.386995,16.716328
43.75,12.25,1985,8.436711,18.875393
43.75,12.25,1986,11.331994,18.140036
43.75,12.25,1987,10.3599205,18.452545
43.75,12.25,1988,9.679562,18.373724
43.75,12.25,1989,10.805558,17.227144
43.75,12.25,1990,10.813338,18.231539
43.75,12.25,1991,10.052414,18.114826
43.75,12.25,1992,12.049031,18.587414
43.75,12.25,1993,12.166222,18.857431
43.75,12.25,1994,12.654297,19.457438
43.75,12.25,1995,13.579905,17.172283
43.75,12.25,1996,13.182535,17.297722
43.75,12.25,1997,13.539731,18.558678
43.75,12.25,1998,12.215276,19.295643
43.75,12.25,1999,14.349084,18.99464
43.75,12.25,2000,12.903233,19.23457
43.75,12.25,2001,12.550413,18.564867
43.75,12.25,2002,13.700252,17.982649
43.75,12.25,2003,10.328343,20.939402
43.75,12.25,2004,13.631329,18.155064
