lat,lon,year,yield_maize,temperature,precipitation,soil_water,solar_radiation,potential_evaporation
43.75,11.75,1982,9.251022,18.613775,365.8976819515228,0.29210743,2624704618.0,964.8373174667358
43.75,11.75,1983,9.876991,18.25495,327.5260633826256,0.2837854,2620408782.0,996.7564082145691
43.75,11.75,1984,10.55283,16.382141,551.1741886138916,0.32070875,2514478346.0,910.1823172569275
43.75,11.75,1985,10.486564,18.76377,229.24114614725113,0.25328,2678356421.0,1056.2008786201477
43.75,11.75,1986,12.218849,18.099987,375.63985335826874,0.3029437,2683026048.0,984.8480343818665
43.75,11.75,1987,11.250535,18.25331,331.15238654613495,0.285093,2697742364.0,1032.0866074562073
43.75,11.75,1988,11.657367,18.235193,317.863779515028,0.2813445,2649594910.0,1007.7509307861328
43.75,11.75,1989,10.70632,17.1168,529.6397595405579,0.33777586,2608386664.0,912.0234808921814
43.75,11.75,1990,10.970482,18.0186,289.81376445293427,0.27876502,2733153768.0,1048.3851833343506
43.75,11.75,1991,9.933992,18.01365,393.4898129105568,0.2716886,2658675753.0,1006.0944628715515
43.75,11.75,1992,12.615363,18.433086,277.3122088909149,0.27439845,2701494184.0,1000.2428159713745
43.75,11.75,1993,11.639522,18.681509,251.2791529893875,0.25170788,2732179612.0,1099.5943369865417
43.75,11.75,1994,12.417731,19.391516,308.79286020994186,0.2667654,2758352400.0,1099.3788175582886
43.75,11.75,1995,14.230786,17.107815,507.0498101711273,0.32324144,2593705556.0,927.6474452018738
43.75,11.75,1996,14.397116,17.065113,461.7672951221466,0.31212503,2641703750.0,968.665358543396
43.75,11.75,1997,15.186582,18.35752,317.3735601902008,0.29009998,2775137112.0,1055.1426782608032
43.75,11.75,1998,15.046177,19.065033,287.02339512109756,0.25334972,2774281684.0,1131.1913590431213
43.75,11.75,1999,15.251589,18.892374,346.9658442735672,0.28774938,2671587220.0,1033.0816912651062
43.75,11.75,2000,14.730982,18.993322,289.6449509859085,0.26042226,2818621510.0,1132.15168094635
43.75,11.75,2001,14.2068615,18.248398,389.74277555942535,0.2787617,2741946468.0,1070.843713760376
43.75,11.75,2002,14.005683,17.750557,507.19355392456055,0.3303128,2548553235.0,909.8693733215332
43.75,11.75,2003,12.172968,20.982573,196.20075690746307,0.22037975,2875009712.0,1243.6427297592163
43.75,11.75,2004,14.208736,17.979172,355.0129054784775,0.27471265,2771673194.0,1081.3701405525208
43.75,11.75,2005,13.564902,18.39833,341.685057759285,0.28433067,2696401082.0,1044.8620972633362
43.75,11.75,2006,12.963544,18.819973,327.48699963092804,0.26902258,2797559718.0,1120.3135147094727
43.75,11.75,2007,14.689947,18.39799,294.01759350299835,0.2594154,2777908774.0,1114.4414377212524
43.75,11.75,2008,15.607417,18.302198,332.5981602668762,0.28135142,2716201880.0,1028.47305393219
43.75,11.75,2009,14.288763,19.428345,263.18016225099564,0.26199326,2784611508.0,1115.9300785064697
43.75,11.75,2010,14.812893,17.877592,481.0368708372116,0.31388977,2627055568.0,969.2474088668823
43.75,11.75,2011,15.698774,19.407284,257.16083842515945,0.24805272,2863352216.0,1163.2342705726624
43.75,11.75,2012,14.073611,19.44576,332.88299149274826,0.26674378,2795034146.0,1154.0783734321594
43.75,11.75,2013,15.180315,18.251804,392.938272356987,0.28989452,2707369130.0,1026.3826723098755
43.75,11.75,2014,17.504501,17.58481,520.5614295005798,0.33105773,2609109462.0,940.8474674224854
43.75,11.75,2015,16.101912,19.621922,327.2859146595001,0.27480882,2750808320.0,1082.829249382019
43.75,11.75,2016,17.160381,18.638208,403.7047917842865,0.3034092,2749254128.0,1040.8665084838867
43.75,12.25,1982,9.097686,18.797573,302.7988886833191,0.27340707,2613747233.0,1030.4139971733093
43.75,12.25,1983,9.234997,18.400543,283.3629541993141,0.26827577,2637945237.0,1070.20814371109
43.75,12.25,1984,10.386995,16.716328,430.6123130917549,0.30412084,2553888531.0,1011.0328407287598
43.75,12.25,1985,8.436711,18.875393,195.22534078359604,0.24212131,2660228718.0,1118.6153082847595
43.75,12.25,1986,11.331994,18.140036,355.9188748598099,0.2957086,2675939830.0,1034.4268817901611
43.75,12.25,1987,10.3599205,18.452545,315.60899686813354,0.28085607,2688205438.0,1101.5401601791382
43.75,12.25,1988,9.679562,18.373724,339.3991440832615,0.28841624,2653783362.0,1057.4914083480835
43.75,12.25,1989,10.805558,17.227144,573.1213519573212,0.336494,2591337220.0,953.111608505249
43.75,12.25,1990,10.813338,18.231539,292.12500965595245,0.27479726,2720510674.0,1122.0742959976196
43.75,12.25,1991,10.052414,18.114826,356.85197019577026,0.26659596,2658868071.0,1071.1899156570435
43.75,12.25,1992,12.049031,18.587414,220.51195430755615,0.2557821,2721634936.0,1074.0297966003418
43.75,12.25,1993,12.166222,18.857431,241.37789678573608,0.24859838,2733976114.0,1184.1575994491577
43.75,12.25,1994,12.654297,19.457438,337.484212577343,0.26779088,2753933810.0,1162.558831691742
43.75,12.25,1995,13.579905,17.172283,487.1282263994217,0.32294178,2601448644.0,982.6569938659668
43.75,12.25,1996,13.182535,17.297722,418.05739319324493,0.2937954,2639877432.0,1049.531012058258
43.75,12.25,1997,13.539731,18.558678,275.93648958206177,0.27506799,2763022930.0,1128.5143842697144
43.75,12.25,1998,12.215276,19.295643,278.5292938351631,0.253463,2759956466.0,1202.6346731185913
43.75,12.25,1999,14.349084,18.99464,373.75128626823425,0.29595348,2658838744.0,1084.7857284545898
43.75,12.25,2000,12.903233,19.23457,254.19835722446442,0.25059643,2812895008.0,1217.3715057373047
43.75,12.25,2001,12.550413,18.564867,323.63640344142914,0.2666913,2736702428.0,1170.703016281128
43.75,12.25,2002,13.700252,17.982649,527.1806390285492,0.32648325,2547355946.0,960.0981550216675
43.75,12.25,2003,10.328343,20.939402,248.72064596414566,0.22935376,2829288216.0,1257.0030841827393
