lat,lon,year,potential_evaporation
43.75,11.75,1982,964.8373174667358
43.75,11.75,1983,996.7564082145691
43.75,11.75,1984,910.1823172569275
43.75,11.75,1985,1056.2008786201477
43.75,11.75,1986,984.8480343818665
43.75,11.75,1987,1032.0866074562073
43.75,11.75,1988,1007.7509307861328
43.75,11.75,1989,912.0234808921814
43.75,11.75,1990,1048.3851833343506
43.75,11.75,1991,1006.0944628715515
43.75,11.75,1992,1000.2428159713745
43.75,11.75,1993,1099.5943369865417
43.75,11.75,1994,1099.3788175582886
43.75,11.75,1995,927.6474452018738
43.75,11.75,1996,968.665358543396
43.75,11.75,1997,1055.1426782608032
43.75,11.75,1998,1131.1913590431213
43.75,11.75,1999,1033.0816912651062
43.75,11.75,2000,1132.15168094635
43.75,11.75,2001,1070.843713760376
43.75,11.75,2002,909.8693733215332
43.75,11.75,2003,1243.6427297592163
43.75,11.75,2004,1081.3701405525208
43.75,11.75,2005,1044.8620972633362
43.75,11.75,2006,1120.3135147094727
43.75,11.75,2007,1114.4414377212524
43.75,11.75,2008,1028.47305393219
43.75,11.75,2009,1115.9300785064697
43.75,11.75,2010,969.2474088668823
43.75,11.75,2011,1163.2342705726624
43.75,11.75,2012,1154.0783734321594
43.75,11.75,2013,1026.3826723098755
43.75,11.75,2014,940.8474674224854
43.75,11.75,2015,1082.829249382019
43.75,11.75,2016,1040.8665084838867
43.75,12.25,1982,1030.4139971733093
43.75,12.25,1983,1070.20814371109
43.75,12.25,1984,1011.0328407287598
43.75,12.25,1985,1118.6153082847595
43.75,12.25,1986,1034.4268817901611
43.75,12.25,1987,1101.5401601791382
43.75,12.25,1988,1057.4914083480835
43.75,12.25,1989,953.111608505249
43.75,12.25,1990,1122.0742959976196
43.75,12.25,1991,1071.1899156570435
43.75,12.25,1992,1074.0297966003418
43.75,12.25,1993,1184.1575994491577
43.75,12.25,1994,1162.558831691742
43.75,12.25,1995,982.6569938659668
43.75,12.25,1996,1049.531012058258
43.75,12.25,1997,1128.5143842697144
43.75,12.25,1998,1202.6346731185913
43.75,12.25,1999,1084.7857284545898
43.75,12.25,2000,1217.3715057373047
43.75,12.25,2001,1170.703016281128
43.75,12.25,2002,960.0981550216675
43.75,12.25,2003,1257.0030841827393
43.75,12.25,2004,1131.4489941596985
43.75,12.25,2005,1079.8137321472168
43.75,12.25,2006,1149.6468868255615
43.75,12.25,2007,1222.584093093872
43.75,12.25,2008,1111.8440337181091
43.75,12.25,2009,1153.1240801811218
43.75,12.25,2010,1040.7121982574463
43.75,12.25,2011,1214.5092058181763
43.75,12.25,2012,1238.301483631134
43.75,12.25,2013,1074.3098363876343
43.75,12.25,2014,992.3031845092773
43.75,12.25,2015,1136.7814841270447
43.75,12.25,2016,1055.716390132904
44.25,6.75,1982,934.532600402832
44.25,6.75,1983,862.2608261108398
