lat,lon,year,precipitation
43.75,11.75,1982,8781.544366836548
43.75,11.75,1983,7860.625521183014
43.75,11.75,1984,13228.180526733398
43.75,11.75,1985,5501.787507534027
43.75,11.75,1986,9015.35648059845
43.75,11.75,1987,7947.657277107239
43.75,11.75,1988,7628.730708360672
43.75,11.75,1989,12711.354228973389
43.75,11.75,1990,6955.530346870422
43.75,11.75,1991,9443.755509853363
43.75,11.75,1992,6655.493013381958
43.75,11.75,1993,6030.6996717453
43.75,11.75,1994,7411.028645038605
43.75,11.75,1995,12169.195444107056
43.75,11.75,1996,11082.415082931519
43.75,11.75,1997,7616.965444564819
43.75,11.75,1998,6888.561482906342
43.75,11.75,1999,8327.180262565613
43.75,11.75,2000,6951.478823661804
43.75,11.75,2001,9353.826613426208
43.75,11.75,2002,12172.645294189453
43.75,11.75,2003,4708.818165779114
43.75,11.75,2004,8520.30973148346
43.75,11.75,2005,8200.44138622284
43.75,11.75,2006,7859.687991142273
43.75,11.75,2007,7056.42224407196
43.75,11.75,2008,7982.355846405029
43.75,11.75,2009,6316.323894023895
43.75,11.75,2010,11544.884900093079
43.75,11.75,2011,6171.860122203827
43.75,11.75,2012,7989.191795825958
43.75,11.75,2013,9430.518536567688
43.75,11.75,2014,12493.474308013916
43.75,11.75,2015,7854.861951828003
43.75,11.75,2016,9688.915002822876
43.75,12.25,1982,7267.173328399658
43.75,12.25,1983,6800.710900783539
43.75,12.25,1984,10334.695514202118
43.75,12.25,1985,4685.408178806305
43.75,12.25,1986,8542.052996635437
43.75,12.25,1987,7574.615924835205
43.75,12.25,1988,8145.579457998276
43.75,12.25,1989,13754.912446975708
43.75,12.25,1990,7011.000231742859
43.75,12.25,1991,8564.447284698486
43.75,12.25,1992,5292.286903381348
43.75,12.25,1993,5793.069522857666
43.75,12.25,1994,8099.621101856232
43.75,12.25,1995,11691.07743358612
43.75,12.25,1996,10033.377436637878
43.75,12.25,1997,6622.475749969482
43.75,12.25,1998,6684.703052043915
43.75,12.25,1999,8970.030870437622
43.75,12.25,2000,6100.760573387146
43.75,12.25,2001,7767.273682594299
43.75,12.25,2002,12652.33533668518
43.75,12.25,2003,5969.295503139496
43.75,12.25,2004,8062.989661216736
43.75,12.25,2005,9733.670245170593
43.75,12.25,2006,8479.70706653595
43.75,12.25,2007,6170.867275714874
43.75,12.25,2008,7310.332839488983
43.75,12.25,2009,6886.7171630859375
43.75,12.25,2010,10682.127888679504
43.75,12.25,2011,6368.106298685074
43.75,12.25,2012,8023.226612091064
43.75,12.25,2013,9195.707582473755
43.75,12.25,2014,12212.575015068054
43.75,12.25,2015,7911.592537879944
43.75,12.25,2016,10634.648363113403
44.25,6.75,1982,12629.494846343994
44.25,6.75,1983,15436.209840774536
44.25,6.75,1984,14093.783274650574
44.25,6.75,1985,9349.211033821106
44.25,6.75,1986,10405.190606117249
44.25,6.75,1987,12873.416919708252
44.25,6.75,1988,11892.13652229309
44.25,6.75,1989,10574.281622886658
44.25,6.75,1990,10550.995370864868
44.25,6.75,1991,12280.460037231445
44.25,6.75,1992,14985.5912733078
44.25,6.75,1993,13196.698820114136
44.25,6.75,1994,14432.47218990326
44.25,6.75,1995,16173.29711151123
44.25,6.75,1996,12186.314935684204
44.25,6.75,1997,11552.457372665405
44.25,6.75,1998,10539.402577400208
44.25,6.75,1999,13036.01652431488
44.25,6.75,2000,11123.179401397705
44.25,6.75,2001,10219.379050254822
44.25,6.75,2002,15510.562362670898
44.25,6.75,2003,7789.807771682739
44.25,6.75,2004,8008.34897518158
44.25,6.75,2005,11365.850881576538
44.25,6.75,2006,12633.74270439148
44.25,6.75,2007,10393.611634254456
44.25,6.75,2008,13466.74345779419
44.25,6.75,2009,10030.777450561523
44.25,6.75,2010,12425.016526222229
44.25,6.75,2011,11800.86893749237
44.25,6.75,2012,9178.025622367859
44.25,6.75,2013,13473.703931808472
44.25,6.75,2014,12836.148393630981
44.25,6.75,2015,11626.188034057617
44.25,6.75,2016,11913.052245140076
44.25,7.25,1982,13065.930805206299
44.25,7.25,1983,15558.284128189087
44.25,7.25,1984,16648.63621044159
44.25,7.25,1985,10347.572954177856
44.25,7.25,1986,12008.445184707642
44.25,7.25,1987,12031.180160522461
44.25,7.25,1988,12698.479468345642
44.25,7.25,1989,11321.649530410767
44.25,7.25,1990,11741.681058883667
44.25,7.25,1991,12728.299126625061
44.25,7.25,1992,15606.693517684937
44.25,7.25,1993,13078.64879322052
44.25,7.25,1994,15236.869096755981
44.25,7.25,1995,17639.635471343994
44.25,7.25,1996,12927.308143615723
44.25,7.25,1997,11918.827257156372
44.25,7.25,1998,11216.255450248718
44.25,7.25,1999,14671.674293518066
44.25,7.25,2000,13234.5498046875
44.25,7.25,2001,11221.59508895874
44.25,7.25,2002,17952.521118164062
44.25,7.25,2003,8289.631879806519
44.25,7.25,2004,9312.230409622192
44.25,7.25,2005,13115.372234344482
44.25,7.25,2006,13613.437036514282
44.25,7.25,2007,11315.410915374756
44.25,7.25,2008,14206.379001617432
44.25,7.25,2009,11071.843691825867
44.25,7.25,2010,14342.550470352173
44.25,7.25,2011,13375.51147556305
44.25,7.25,2012,11067.322128295898
44.25,7.25,2013,15007.764175415039
44.25,7.25,2014,15373.727405548096
44.25,7.25,2015,13495.654975891113
44.25,7.25,2016,13704.843635559082
44.25,7.75,1982,10302.249389648438
44.25,7.75,1983,12597.079931259155
44.25,7.75,1984,16941.53040933609
44.25,7.75,1985,9315.253672599792
44.25,7.75,1986,10336.784957885742
44.25,7.75,1987,9336.62978553772
44.25,7.75,1988,10410.231564044952
44.25,7.75,1989,10109.82012462616
44.25,7.75,1990,9606.8128824234
44.25,7.75,1991,10988.398532867432
44.25,7.75,1992,14953.746311187744
44.25,7.75,1993,12846.947871208191
44.25,7.75,1994,14223.064272880554
44.25,7.75,1995,15616.5373878479
44.25,7.75,1996,11756.157955169678
44.25,7.75,1997,10081.0502243042
44.25,7.75,1998,10580.052567958832
44.25,7.75,1999,13358.031503677368
44.25,7.75,2000,13121.474155426025
44.25,7.75,2001,10252.111232757568
44.25,7.75,2002,18381.740226745605
44.25,7.75,2003,6497.134034156799
44.25,7.75,2004,8816.942507743835
44.25,7.75,2005,11019.532579421997
44.25,7.75,2006,11815.237438201904
44.25,7.75,2007,10008.47391986847
44.25,7.75,2008,12644.554676055908
44.25,7.75,2009,9621.764983177185
44.25,7.75,2010,12858.341588973999
44.25,7.75,2011,10424.773425579071
44.25,7.75,2012,10703.76148223877
