lat,lon,year,solar_radiation
43.75,11.75,1982,62992910832.0
43.75,11.75,1983,62889810768.0
43.75,11.75,1984,60347480304.0
43.75,11.75,1985,64280554104.0
43.75,11.75,1986,64392625152.0
43.75,11.75,1987,64745816736.0
43.75,11.75,1988,63590277840.0
43.75,11.75,1989,62601279936.0
43.75,11.75,1990,65595690432.0
43.75,11.75,1991,63808218072.0
43.75,11.75,1992,64835860416.0
43.75,11.75,1993,65572310688.0
43.75,11.75,1994,66200457600.0
43.75,11.75,1995,62248933344.0
43.75,11.75,1996,63400890000.0
43.75,11.75,1997,66603290688.0
43.75,11.75,1998,66582760416.0
43.75,11.75,1999,64118093280.0
43.75,11.75,2000,67646916240.0
43.75,11.75,2001,65806715232.0
43.75,11.75,2002,61165277640.0
43.75,11.75,2003,69000233088.0
43.75,11.75,2004,66520156656.0
43.75,11.75,2005,64713625968.0
43.75,11.75,2006,67141433232.0
43.75,11.75,2007,66669810576.0
43.75,11.75,2008,65188845120.0
43.75,11.75,2009,66830676192.0
43.75,11.75,2010,63049333632.0
43.75,11.75,2011,68720453184.0
43.75,11.75,2012,67080819504.0
43.75,11.75,2013,64976859120.0
43.75,11.75,2014,62618627088.0
43.75,11.75,2015,66019399680.0
43.75,11.75,2016,65982099072.0
43.75,12.25,1982,62729933592.0
43.75,12.25,1983,63310685688.0
43.75,12.25,1984,61293324744.0
43.75,12.25,1985,63845489232.0
43.75,12.25,1986,64222555920.0
43.75,12.25,1987,64516930512.0
43.75,12.25,1988,63690800688.0
43.75,12.25,1989,62192093280.0
43.75,12.25,1990,65292256176.0
43.75,12.25,1991,63812833704.0
43.75,12.25,1992,65319238464.0
43.75,12.25,1993,65615426736.0
43.75,12.25,1994,66094411440.0
43.75,12.25,1995,62434767456.0
43.75,12.25,1996,63357058368.0
43.75,12.25,1997,66312550320.0
43.75,12.25,1998,66238955184.0
43.75,12.25,1999,63812129856.0
43.75,12.25,2000,67509480192.0
43.75,12.25,2001,65680858272.0
43.75,12.25,2002,61136542704.0
43.75,12.25,2003,67902917184.0
43.75,12.25,2004,66360288144.0
43.75,12.25,2005,64507987272.0
43.75,12.25,2006,66666393120.0
43.75,12.25,2007,66479481072.0
43.75,12.25,2008,65269485456.0
43.75,12.25,2009,66280051488.0
43.75,12.25,2010,63414556080.0
43.75,12.25,2011,68243420496.0
43.75,12.25,2012,66848792352.0
43.75,12.25,2013,65227369320.0
43.75,12.25,2014,62630276880.0
43.75,12.25,2015,65879078688.0
43.75,12.25,2016,65583045984.0
44.25,6.75,1982,61715747328.0
44.25,6.75,1983,58660306680.0
44.25,6.75,1984,57100301160.0
44.25,6.75,1985,64058735712.0
44.25,6.75,1986,62212292064.0
44.25,6.75,1987,64738025472.0
44.25,6.75,1988,62347210944.0
44.25,6.75,1989,66089128416.0
44.25,6.75,1990,66032649648.0
44.25,6.75,1991,63736921344.0
44.25,6.75,1992,61726466328.0
44.25,6.75,1993,65657227248.0
44.25,6.75,1994,63748155360.0
44.25,6.75,1995,63231500112.0
44.25,6.75,1996,61625990736.0
44.25,6.75,1997,64875301728.0
44.25,6.75,1998,67283194224.0
44.25,6.75,1999,64896919872.0
44.25,6.75,2000,68195731680.0
44.25,6.75,2001,66446059152.0
44.25,6.75,2002,63194721936.0
44.25,6.75,2003,69499696656.0
44.25,6.75,2004,66251086944.0
44.25,6.75,2005,67159641504.0
44.25,6.75,2006,66779319360.0
44.25,6.75,2007,67993310400.0
44.25,6.75,2008,64031543832.0
44.25,6.75,2009,67462041984.0
44.25,6.75,2010,63069887400.0
44.25,6.75,2011,67322584320.0
44.25,6.75,2012,67912489152.0
44.25,6.75,2013,63109218672.0
44.25,6.75,2014,64319455344.0
44.25,6.75,2015,66566923728.0
44.25,6.75,2016,68179398720.0
44.25,7.25,1982,59864950824.0
44.25,7.25,1983,58653904344.0
44.25,7.25,1984,56838596304.0
44.25,7.25,1985,62240158032.0
44.25,7.25,1986,60080828088.0
44.25,7.25,1987,62191483032.0
44.25,7.25,1988,60614931936.0
44.25,7.25,1989,63454791936.0
44.25,7.25,1990,62820226416.0
44.25,7.25,1991,62508377976.0
44.25,7.25,1992,59893188024.0
44.25,7.25,1993,63134515776.0
44.25,7.25,1994,61674847344.0
44.25,7.25,1995,60845361168.0
44.25,7.25,1996,60600624960.0
44.25,7.25,1997,63503165472.0
44.25,7.25,1998,64957170864.0
44.25,7.25,1999,62281455648.0
44.25,7.25,2000,65250699264.0
44.25,7.25,2001,65060274504.0
44.25,7.25,2002,60055695672.0
44.25,7.25,2003,67943779200.0
44.25,7.25,2004,65107314528.0
44.25,7.25,2005,63692237952.0
44.25,7.25,2006,64069062384.0
44.25,7.25,2007,65396659368.0
44.25,7.25,2008,61731486720.0
44.25,7.25,2009,66134793072.0
44.25,7.25,2010,61936922808.0
44.25,7.25,2011,64839400176.0
44.25,7.25,2012,63580384128.0
44.25,7.25,2013,63206848152.0
44.25,7.25,2014,61692618288.0
44.25,7.25,2015,62980959960.0
44.25,7.25,2016,65642223648.0
44.25,7.75,1982,59926441512.0
44.25,7.75,1983,58859655672.0
44.25,7.75,1984,57652694832.0
44.25,7.75,1985,61344849192.0
44.25,7.75,1986,60494990496.0
44.25,7.75,1987,61763507592.0
44.25,7.75,1988,60764477808.0
44.25,7.75,1989,62803303824.0
44.25,7.75,1990,62111210688.0
44.25,7.75,1991,63135309312.0
44.25,7.75,1992,59785691856.0
44.25,7.75,1993,62767386048.0
44.25,7.75,1994,60841795896.0
44.25,7.75,1995,60686711448.0
44.25,7.75,1996,61061643648.0
44.25,7.75,1997,62730386280.0
44.25,7.75,1998,64093118880.0
44.25,7.75,1999,61212276288.0
44.25,7.75,2000,63955356048.0
44.25,7.75,2001,64159560408.0
44.25,7.75,2002,59601844704.0
44.25,7.75,2003,67022627712.0
44.25,7.75,2004,64660429008.0
44.25,7.75,2005,62346001056.0
44.25,7.75,2006,63593721792.0
44.25,7.75,2007,64924697880.0
44.25,7.75,2008,61063519008.0
44.25,7.75,2009,66130634832.0
44.25,7.75,2010,62219743824.0
44.25,7.75,2011,64608344976.0
44.25,7.75,2012,61994182944.0
44.25,7.75,2013,63742048128.0
44.25,7.75,2014,60691285872.0
44.25,7.75,2015,62280603384.0
44.25,7.75,2016,64833191568.0
44.25,10.75,1982,62184925320.0
44.25,10.75,1983,61464670416.0
44.25,10.75,1984,58750064664.0
44.25,10.75,1985,62610445344.0
44.25,10.75,1986,63503828256.0
44.25,10.75,1987,63943414704.0
44.25,10.75,1988,61952027544.0
44.25,10.75,1989,62049637128.0
44.25,10.75,1990,64510815120.0
44.25,10.75,1991,63512634792.0
44.25,10.75,1992,63500861808.0
44.25,10.75,1993,64215510432.0
44.25,10.75,1994,63696026304.0
44.25,10.75,1995,62155749984.0
44.25,10.75,1996,62892738000.0
44.25,10.75,1997,64751398128.0
44.25,10.75,1998,65946602832.0
44.25,10.75,1999,62538284520.0
44.25,10.75,2000,66363236832.0
44.25,10.75,2001,65222592672.0
44.25,10.75,2002,60699726552.0
44.25,10.75,2003,68434355904.0
44.25,10.75,2004,65363462256.0
44.25,10.75,2005,63617640456.0
44.25,10.75,2006,66201086928.0
44.25,10.75,2007,65042939928.0
44.25,10.75,2008,62908901880.0
44.25,10.75,2009,65776541472.0
44.25,10.75,2010,61746752616.0
44.25,10.75,2011,67440171744.0
44.25,10.75,2012,66049570704.0
44.25,10.75,2013,64524804624.0
44.25,10.75,2014,61740460464.0
44.25,10.75,2015,65408784816.0
44.25,10.75,2016,65817356688.0
44.25,11.25,1982,61763201736.0
44.25,11.25,1983,61821243648.0
44.25,11.25,1984,58933982064.0
44.25,11.25,1985,62625823008.0
44.25,11.25,1986,63395336928.0
44.25,11.25,1987,63716226552.0
44.25,11.25,1988,62017582512.0
44.25,11.25,1989,61553891928.0
44.25,11.25,1990,64014695088.0
44.25,11.25,1991,63287924976.0
44.25,11.25,1992,63684085200.0
44.25,11.25,1993,64293983904.0
44.25,11.25,1994,63949207008.0
44.25,11.25,1995,61593937680.0
44.25,11.25,1996,62539521072.0
44.25,11.25,1997,64835803440.0
44.25,11.25,1998,65697633408.0
44.25,11.25,1999,62351054952.0
44.25,11.25,2000,66291743520.0
44.25,11.25,2001,64822161552.0
44.25,11.25,2002,60237857664.0
44.25,11.25,2003,68045000016.0
44.25,11.25,2004,65127158832.0
44.25,11.25,2005,63402773040.0
44.25,11.25,2006,65949850584.0
44.25,11.25,2007,65036097456.0
44.25,11.25,2008,63107521656.0
44.25,11.25,2009,65275948464.0
44.25,11.25,2010,61635438336.0
44.25,11.25,2011,67345404240.0
44.25,11.25,2012,65835564384.0
44.25,11.25,2013,64105788552.0
44.25,11.25,2014,61278575448.0
44.25,11.25,2015,64848301200.0
44.25,11.25,2016,65404770624.0
44.25,11.75,1982,61547027904.0
44.25,11.75,1983,62093725128.0
44.25,11.75,1984,59627116968.0
44.25,11.75,1985,62596343616.0
44.25,11.75,1986,63279570768.0
44.25,11.75,1987,63581740416.0
44.25,11.75,1988,62130938424.0
44.25,11.75,1989,61225871136.0
44.25,11.75,1990,63909781440.0
44.25,11.75,1991,63071894088.0
44.25,11.75,1992,63956799168.0
44.25,11.75,1993,64295457648.0
44.25,11.75,1994,64317312528.0
44.25,11.75,1995,61361349768.0
44.25,11.75,1996,62350227648.0
44.25,11.75,1997,64812004728.0
44.25,11.75,1998,65309701248.0
44.25,11.75,1999,62308893720.0
44.25,11.75,2000,66178989888.0
44.25,11.75,2001,64684666512.0
44.25,11.75,2002,60109351920.0
44.25,11.75,2003,67306784880.0
44.25,11.75,2004,64946708976.0
44.25,11.75,2005,63323277792.0
44.25,11.75,2006,65595896592.0
44.25,11.75,2007,65185251936.0
44.25,11.75,2008,63487629456.0
44.25,11.75,2009,64796244144.0
44.25,11.75,2010,62084512104.0
44.25,11.75,2011,67107477840.0
44.25,11.75,2012,65777131824.0
44.25,11.75,2013,64266887688.0
44.25,11.75,2014,61311452304.0
44.25,11.75,2015,64452825936.0
44.25,11.75,2016,65014178160.0
44.75,6.75,1982,57491779440.0
44.75,6.75,1983,52609373136.0
44.75,6.75,1984,52662275712.0
44.75,6.75,1985,60474177192.0
44.75,6.75,1986,59098216488.0
44.75,6.75,1987,60943857168.0
44.75,6.75,1988,59414560776.0
44.75,6.75,1989,63711615024.0
44.75,6.75,1990,63451083624.0
44.75,6.75,1991,59623519248.0
44.75,6.75,1992,58857295080.0
44.75,6.75,1993,61283465976.0
44.75,6.75,1994,57879591264.0
44.75,6.75,1995,58307369448.0
44.75,6.75,1996,57314377824.0
44.75,6.75,1997,59927900496.0
44.75,6.75,1998,63894124752.0
44.75,6.75,1999,60109415616.0
44.75,6.75,2000,63762111336.0
44.75,6.75,2001,62020389000.0
44.75,6.75,2002,58510810824.0
