lat,lon,year,temperature
43.75,11.75,1982,18.613775
43.75,11.75,1983,18.25495
43.75,11.75,1984,16.382141
43.75,11.75,1985,18.76377
43.75,11.75,1986,18.099987
43.75,11.75,1987,18.25331
43.75,11.75,1988,18.235193
43.75,11.75,1989,17.1168
43.75,11.75,1990,18.0186
43.75,11.75,1991,18.01365
43.75,11.75,1992,18.433086
43.75,11.75,1993,18.681509
43.75,11.75,1994,19.391516
43.75,11.75,1995,17.107815
43.75,11.75,1996,17.065113
43.75,11.75,1997,18.35752
43.75,11.75,1998,19.065033
43.75,11.75,1999,18.892374
43.75,11.75,2000,18.993322
43.75,11.75,2001,18.248398
43.75,11.75,2002,17.750557
43.75,11.75,2003,20.982573
43.75,11.75,2004,17.979172
43.75,11.75,2005,18.39833
43.75,11.75,2006,18.819973
43.75,11.75,2007,18.39799
43.75,11.75,2008,18.302198
43.75,11.75,2009,19.428345
43.75,11.75,2010,17.877592
43.75,11.75,2011,19.407284
43.75,11.75,2012,19.44576
43.75,11.75,2013,18.251804
43.75,11.75,2014,17.58481
43.75,11.75,2015,19.621922
43.75,11.75,2016,18.638208
43.75,12.25,1982,18.797573
43.75,12.25,1983,18.400543
43.75,12.25,1984,16.716328
43.75,12.25,1985,18.875393
43.75,12.25,1986,18.140036
43.75,12.25,1987,18.452545
43.75,12.25,1988,18.373724
43.75,12.25,1989,17.227144
43.75,12.25,1990,18.231539
43.75,12.25,1991,18.114826
43.75,12.25,1992,18.587414
43.75,12.25,1993,18.857431
43.75,12.25,1994,19.457438
43.75,12.25,1995,17.172283
43.75,12.25,1996,17.297722
43.75,12.25,1997,18.558678
43.75,12.25,1998,19.295643
43.75,12.25,1999,18.99464
43.75,12.25,2000,19.23457
43.75,12.25,2001,18.564867
43.75,12.25,2002,17.982649
43.75,12.25,2003,20.939402
43.75,12.25,2004,18.155064
43.75,12.25,2005,18.408878
43.75,12.25,2006,18.817738
43.75,12.25,2007,18.890131
43.75,12.25,2008,18.681606
43.75,12.25,2009,19.446735
43.75,12.25,2010,18.100687
43.75,12.25,2011,19.572422
43.75,12.25,2012,19.793777
43.75,12.25,2013,18.381506
43.75,12.25,2014,17.703997
43.75,12.25,2015,19.80364
43.75,12.25,2016,18.583569
44.25,6.75,1982,11.345995
44.25,6.75,1983,10.780763
44.25,6.75,1984,9.072236
44.25,6.75,1985,11.297396
44.25,6.75,1986,11.27255
44.25,6.75,1987,10.981498
44.25,6.75,1988,10.925537
44.25,6.75,1989,10.972066
44.25,6.75,1990,11.441429
44.25,6.75,1991,11.199919
44.25,6.75,1992,11.056336
44.25,6.75,1993,11.120088
44.25,6.75,1994,11.909702
44.25,6.75,1995,10.097939
44.25,6.75,1996,9.905158
44.25,6.75,1997,11.386475
44.25,6.75,1998,11.670439
44.25,6.75,1999,11.647921
44.25,6.75,2000,11.641713
44.25,6.75,2001,11.49807
44.25,6.75,2002,10.893557
44.25,6.75,2003,13.183744
44.25,6.75,2004,11.266047
44.25,6.75,2005,11.681519
44.25,6.75,2006,11.864582
44.25,6.75,2007,11.3516445
44.25,6.75,2008,11.141419
44.25,6.75,2009,12.424906
44.25,6.75,2010,10.925311
44.25,6.75,2011,11.795517
44.25,6.75,2012,12.456777
44.25,6.75,2013,10.775476
44.25,6.75,2014,10.878809
44.25,6.75,2015,12.642485
44.25,6.75,2016,12.012144
44.25,7.25,1982,13.050962
44.25,7.25,1983,12.524153
44.25,7.25,1984,10.745813
44.25,7.25,1985,13.005396
44.25,7.25,1986,12.872706
44.25,7.25,1987,12.730981
44.25,7.25,1988,12.649725
44.25,7.25,1989,12.483613
44.25,7.25,1990,13.072632
44.25,7.25,1991,12.807528
44.25,7.25,1992,12.627554
44.25,7.25,1993,12.777681
44.25,7.25,1994,13.551718
44.25,7.25,1995,11.729643
44.25,7.25,1996,11.583752
44.25,7.25,1997,13.041412
44.25,7.25,1998,13.297032
44.25,7.25,1999,13.308202
44.25,7.25,2000,13.330462
44.25,7.25,2001,13.112866
44.25,7.25,2002,12.321322
44.25,7.25,2003,14.816668
44.25,7.25,2004,12.913515
44.25,7.25,2005,13.181033
44.25,7.25,2006,13.566551
44.25,7.25,2007,13.033628
44.25,7.25,2008,12.815717
44.25,7.25,2009,13.874812
44.25,7.25,2010,12.643016
44.25,7.25,2011,13.471596
44.25,7.25,2012,13.936651
44.25,7.25,2013,12.493178
44.25,7.25,2014,12.413637
44.25,7.25,2015,14.034735
44.25,7.25,2016,13.453145
44.25,7.75,1982,16.22901
44.25,7.75,1983,15.707605
44.25,7.75,1984,13.912875
44.25,7.75,1985,15.963847
44.25,7.75,1986,15.956676
44.25,7.75,1987,15.861559
44.25,7.75,1988,15.746801
44.25,7.75,1989,15.561003
44.25,7.75,1990,16.0401
44.25,7.75,1991,15.969325
44.25,7.75,1992,15.680601
44.25,7.75,1993,15.8124485
44.25,7.75,1994,16.554935
44.25,7.75,1995,14.879221
44.25,7.75,1996,14.735736
44.25,7.75,1997,16.074444
44.25,7.75,1998,16.300985
44.25,7.75,1999,16.387482
44.25,7.75,2000,16.303947
44.25,7.75,2001,16.099945
44.25,7.75,2002,15.346182
44.25,7.75,2003,18.086416
44.25,7.75,2004,15.938876
44.25,7.75,2005,16.31055
44.25,7.75,2006,16.668583
44.25,7.75,2007,16.009441
44.25,7.75,2008,15.874639
44.25,7.75,2009,17.095095
44.25,7.75,2010,15.885953
44.25,7.75,2011,16.665768
44.25,7.75,2012,16.813652
44.25,7.75,2013,15.793524
44.25,7.75,2014,15.488373
44.25,7.75,2015,17.015265
44.25,7.75,2016,16.53891
44.25,10.75,1982,17.768478
44.25,10.75,1983,17.394716
44.25,10.75,1984,15.49297
44.25,10.75,1985,17.534302
44.25,10.75,1986,17.25413
44.25,10.75,1987,17.20395
44.25,10.75,1988,17.200256
44.25,10.75,1989,16.415863
44.25,10.75,1990,17.144367
44.25,10.75,1991,17.181198
44.25,10.75,1992,17.674929
44.25,10.75,1993,17.422775
44.25,10.75,1994,18.26942
44.25,10.75,1995,16.262705
44.25,10.75,1996,16.195501
44.25,10.75,1997,17.3576
44.25,10.75,1998,17.971066
44.25,10.75,1999,17.856403
44.25,10.75,2000,17.874182
44.25,10.75,2001,17.363539
44.25,10.75,2002,16.903276
44.25,10.75,2003,19.790447
44.25,10.75,2004,16.99736
44.25,10.75,2005,17.477533
44.25,10.75,2006,17.87741
44.25,10.75,2007,17.426287
44.25,10.75,2008,17.301294
44.25,10.75,2009,18.472345
44.25,10.75,2010,16.999685
44.25,10.75,2011,18.316517
44.25,10.75,2012,18.46345
44.25,10.75,2013,17.426397
44.25,10.75,2014,16.744793
44.25,10.75,2015,18.696531
44.25,10.75,2016,17.830223
44.25,11.25,1982,19.228447
44.25,11.25,1983,18.990559
44.25,11.25,1984,17.013859
44.25,11.25,1985,19.15619
44.25,11.25,1986,18.6268
44.25,11.25,1987,18.846355
44.25,11.25,1988,18.816818
44.25,11.25,1989,17.833254
44.25,11.25,1990,18.620975
44.25,11.25,1991,18.734432
44.25,11.25,1992,19.411007
44.25,11.25,1993,19.124275
44.25,11.25,1994,19.705515
44.25,11.25,1995,17.750141
44.25,11.25,1996,17.742924
44.25,11.25,1997,18.950802
44.25,11.25,1998,19.67216
44.25,11.25,1999,19.357513
44.25,11.25,2000,19.54354
44.25,11.25,2001,18.906193
44.25,11.25,2002,18.423666
44.25,11.25,2003,21.55976
44.25,11.25,2004,18.515842
44.25,11.25,2005,19.158298
44.25,11.25,2006,19.414331
44.25,11.25,2007,19.169643
44.25,11.25,2008,19.02067
44.25,11.25,2009,20.098673
44.25,11.25,2010,18.620718
44.25,11.25,2011,20.12261
44.25,11.25,2012,20.253948
44.25,11.25,2013,19.08427
44.25,11.25,2014,18.215748
44.25,11.25,2015,20.221874
44.25,11.25,2016,19.442755
44.25,11.75,1982,20.281433
44.25,11.75,1983,20.040653
44.25,11.75,1984,18.24561
44.25,11.75,1985,20.249191
44.25,11.75,1986,19.66119
44.25,11.75,1987,20.14581
44.25,11.75,1988,19.921162
44.25,11.75,1989,18.828379
44.25,11.75,1990,19.76279
44.25,11.75,1991,19.816153
44.25,11.75,1992,20.631727
44.25,11.75,1993,20.466354
44.25,11.75,1994,20.867859
44.25,11.75,1995,18.802345
44.25,11.75,1996,18.955002
44.25,11.75,1997,20.116974
44.25,11.75,1998,20.995985
44.25,11.75,1999,20.58939
44.25,11.75,2000,20.877542
44.25,11.75,2001,20.103382
44.25,11.75,2002,19.474276
44.25,11.75,2003,22.4847
44.25,11.75,2004,19.66078
44.25,11.75,2005,20.116205
44.25,11.75,2006,20.254019
44.25,11.75,2007,20.488834
44.25,11.75,2008,20.26967
44.25,11.75,2009,21.22728
44.25,11.75,2010,19.641296
44.25,11.75,2011,21.321642
44.25,11.75,2012,21.56498
44.25,11.75,2013,20.192678
44.25,11.75,2014,19.179749
44.25,11.75,2015,21.313484
44.25,11.75,2016,20.402456
44.75,6.75,1982,9.00012
44.75,6.75,1983,8.292278
44.75,6.75,1984,6.681314
44.75,6.75,1985,9.034566
44.75,6.75,1986,9.080254
