year,lat,lon,yield_wheat_spring,temperature,precipitation,soil_water,solar_radiation,potential_evaporation
1982,43.75,11.75,3.5484276,13.585408522412667,421.164181470871,0.3229864011792576,2498301382.0,860.3112211227417
1983,43.75,11.75,3.5303423,14.313562704846749,374.3622233271599,0.311125083881266,2529995794.0,913.1037254333496
1984,43.75,11.75,4.7627163,11.983089880226485,551.3672618865967,0.35087447121641996,2387843878.0,812.2670340538025
1985,43.75,11.75,4.572241,13.683426205628837,376.21035891771317,0.3277675389659171,2454247552.0,887.3875613212585
1986,43.75,11.75,4.5064406,13.50178798974729,541.3195927143097,0.3577408882137997,2410163540.0,809.876608133316
1987,43.75,11.75,5.043943,12.62884165726456,333.1369322538376,0.32379910603068235,2599375404.0,904.9915363788605
1988,43.75,11.75,3.9346986,13.656981801675036,434.84009340405464,0.3499119323647879,2442370637.0,827.3104033470154
1989,43.75,11.75,3.7690163,13.702559016109293,490.95836448669434,0.35593823728218577,2534153354.0,854.5378541946411
1990,43.75,11.75,4.0608673,14.06172697528515,374.8483866453171,0.31764407563053704,2601414521.0,915.0507457256317
1991,43.75,11.75,4.9149885,13.28021685905706,450.00463485717773,0.3268723551159591,2496366477.0,856.0912017822266
1992,43.75,11.75,5.5281096,13.543515741435531,426.28725719451904,0.3405680305817548,2502361765.0,843.0062131881714
1993,43.75,11.75,5.2177396,13.90210122999802,312.0216910839081,0.304264832945431,2620551504.0,943.1276905536652
1994,43.75,11.75,4.7877383,14.769704263973859,337.1914798915386,0.3105141367592843,2637727278.0,942.1525750160217
1995,43.75,11.75,3.8926532,13.138765123155382,393.68915462493896,0.34154410163561505,2526489106.0,871.2483813762665
1996,43.75,11.75,5.1550097,13.28776883455663,386.299458861351,0.33099133944978903,2515897726.0,879.1933162212372
1997,43.75,11.75,4.16189,13.654689502092747,389.81641578674316,0.3270256357644898,2700123460.0,951.0384368896484
1998,43.75,11.75,5.4939675,14.317614885716656,315.9547080397606,0.30900468604237424,2681146566.0,999.1556529998779
1999,43.75,11.75,4.831918,14.372652483921424,406.1748934984207,0.33325303282613067,2543097878.0,895.2937519550323
2000,43.75,11.75,5.3374243,14.675757666818457,345.03019666671753,0.31511782090258755,2636253987.0,966.04656291008
2001,43.75,11.75,4.004328,14.540069742140426,475.05844497680664,0.32480021308060564,2548901084.0,929.8880500793457
2002,43.75,11.75,4.9611955,14.478995990129857,416.4669380784035,0.33174845810030024,2552176594.0,886.959951877594
2003,43.75,11.75,4.5763016,15.881019617217818,226.3598074913025,0.2726450296593647,2814142910.0,1073.5215454101562
2004,43.75,11.75,5.288069,13.290187199910482,431.31731963157654,0.33053164252268724,2556901869.0,898.6818518638611
