year,lat,lon,yield_wheat_spring,temperature,precipitation,soil_water,solar_radiation,potential_evaporation,temperature_Mar,temperature_Apr,temperature_May,temperature_Jun,temperature_Jul,precipitation_Mar,precipitation_Apr,precipitation_May,precipitation_Jun,precipitation_Jul,soil_water_Mar,soil_water_Apr,soil_water_May,soil_water_Jun,soil_water_Jul,solar_radiation_Mar,solar_radiation_Apr,solar_radiation_May,solar_radiation_Jun,solar_radiation_Jul,potential_evaporation_Mar,potential_evaporation_Apr,potential_evaporation_May,potential_evaporation_Jun,potential_evaporation_Jul
1982,43.75,11.75,3.5484276,13.585408522412667,421.164181470871,0.3229864011792576,2498301382.0,860.3112211227417,4.352599,8.544469,13.980589,19.408058,21.666544,141.63763284683228,55.31566500663757,96.10426902770996,45.96104621887207,82.14556837081909,0.39825135,0.3619464,0.33381897,0.2607428,0.25942138,333000574.0,434446980.0,560770780.0,588179940.0,581903108.0,93.16208410263062,136.06311321258545,183.46514654159546,222.3779582977295,225.24291896820068
1983,43.75,11.75,3.5303423,14.313562704846749,374.3622233271599,0.311125083881266,2529995794.0,913.1037254333496,6.7225523,10.033265,13.748136,17.525047,23.504335,159.52843618392944,78.06515693664551,65.59420204162598,57.98296809196472,13.191460072994232,0.38466612,0.3706531,0.31335083,0.28632325,0.20175233,338360784.0,456904800.0,533418054.0,565872420.0,635439736.0,94.4944257736206,148.92216682434082,188.23775100708008,207.7396059036255,273.7097759246826
1984,43.75,11.75,4.7627163,11.983089880226485,551.3672618865967,0.35087447121641996,2387843878.0,812.2670340538025,3.8413196,8.276233,11.1507845,16.310707,20.35643,126.61353778839111,139.2652702331543,195.19806957244873,63.81376504898071,26.476619243621826,0.39814574,0.38616824,0.39921325,0.3465411,0.22530274,307409640.0,417262260.0,433363136.0,574408020.0,655400822.0,87.2834939956665,127.9932689666748,138.00816106796265,196.61029815673828,262.37181186676025
1985,43.75,11.75,4.572241,13.683426205628837,376.21035891771317,0.3277675389659171,2454247552.0,887.3875613212585,5.4348254,9.643123,13.611876,17.219692,22.491356,140.22096014022827,63.43244791030884,102.64922952651978,47.3704719543457,22.537249386310577,0.40327454,0.36384946,0.35733765,0.30648744,0.20836608,305705167.0,474585540.0,484479997.0,544136580.0,645340268.0,87.08520889282227,171.0618495941162,153.50686025619507,201.31173133850098,274.421911239624
1986,43.75,11.75,4.5064406,13.50178798974729,541.3195927143097,0.3577408882137997,2410163540.0,809.876608133316,5.4037123,9.393474,16.320515,16.645603,19.714523,104.37587237358093,151.6785764694214,56.05588150024414,132.98373699188232,96.22552537918091,0.39352906,0.3852472,0.32219055,0.36307496,0.32572204,305997714.0,394636260.0,591377638.0,542741460.0,575410468.0,88.70153403282166,126.62166595458984,198.9181547164917,181.8980884552002,213.73716497421265
1987,43.75,11.75,5.043943,12.62884165726456,333.1369322538376,0.32379910603068235,2599375404.0,904.9915363788605,2.731527,9.470067,12.212834,17.072948,21.698294,58.9912223815918,79.80428695678711,90.1362407207489,49.795053005218506,54.41012918949127,0.36657774,0.37201235,0.3522003,0.30195555,0.22710022,379430390.0,475165920.0,529499840.0,588142620.0,627136634.0,103.15800213813782,149.39579486846924,172.48004245758057,218.11768054962158,261.84001636505127
1988,43.75,11.75,3.9346986,13.656981801675036,434.84009340405464,0.3499119323647879,2442370637.0,827.3104033470154,5.5106235,9.9200945,14.1503315,16.443323,22.229874,81.93032836914062,99.50912475585938,125.43707180023193,120.41574954986572,7.5478189289569855,0.38919067,0.3795209,0.38811344,0.36337832,0.23074587,363875551.0,399565830.0,481161726.0,541112820.0,656654710.0,110.59272527694702,121.65741920471191,148.60828399658203,175.1568603515625,271.2951145172119
1989,43.75,11.75,3.7690163,13.702559016109293,490.95836448669434,0.35593823728218577,2534153354.0,854.5378541946411,8.992296,9.59902,13.435549,16.349644,20.089304,50.51288604736328,146.72252655029297,80.08092880249023,67.47326374053955,146.1687593460083,0.36986697,0.39098206,0.33944947,0.3325122,0.34725526,406645290.0,405582420.0,580186948.0,564900120.0,576838576.0,123.09639406204224,129.40109252929688,198.55926370620728,197.19861030578613,206.2824935913086
1990,43.75,11.75,4.0608673,14.06172697528515,374.8483866453171,0.31764407563053704,2601414521.0,915.0507457256317,8.209186,8.742725,14.665835,17.813631,20.826706,65.55552506446838,139.4370174407959,48.12486171722412,61.42385959625244,60.30712282657623,0.34475097,0.39286742,0.30913574,0.30657655,0.23695925,388584349.0,433569900.0,582349322.0,569116620.0,627794330.0,117.28712391853333,131.81118965148926,193.81198072433472,213.98250102996826,258.15795040130615
1991,43.75,11.75,4.9149885,13.28021685905706,450.00463485717773,0.3268723551159591,2496366477.0,856.0912017822266,8.669017,7.746932,10.441959,17.274424,22.219105,29.375847816467285,123.99966716766357,190.41397953033447,61.223180294036865,44.99196004867554,0.35441104,0.37699524,0.3851019,0.30958983,0.20932312,360256456.0,436421130.0,472798205.0,588257640.0,638633046.0,114.46204900741577,122.49409675598145,141.21761846542358,212.82397270202637,265.0934648513794
