lat,lon,year,yield_maize
43.75,11.75,1982,9.251022
43.75,11.75,1983,9.876991
43.75,11.75,1984,10.55283
43.75,11.75,1985,10.486564
43.75,11.75,1986,12.218849
43.75,11.75,1987,11.250535
43.75,11.75,1988,11.657367
43.75,11.75,1989,10.70632
43.75,11.75,1990,10.970482
43.75,11.75,1991,9.933992
43.75,11.75,1992,12.615363
43.75,11.75,1993,11.639522
43.75,11.75,1994,12.417731
43.75,11.75,1995,14.230786
43.75,11.75,1996,14.397116
43.75,11.75,1997,15.186582
43.75,11.75,1998,15.046177
43.75,11.75,1999,15.251589
43.75,11.75,2000,14.730982
43.75,11.75,2001,14.2068615
43.75,11.75,2002,14.005683
43.75,11.75,2003,12.172968
43.75,11.75,2004,14.208736
43.75,11.75,2005,13.564902
43.75,11.75,2006,12.963544
43.75,11.75,2007,14.689947
43.75,11.75,2008,15.607417
43.75,11.75,2009,14.288763
43.75,11.75,2010,14.812893
43.75,11.75,2011,15.698774
43.75,11.75,2012,14.073611
43.75,11.75,2013,15.180315
43.75,11.75,2014,17.504501
43.75,11.75,2015,16.101912
43.75,11.75,2016,17.160381
43.75,12.25,1982,9.097686
43.75,12.25,1983,9.234997
43.75,12.25,1984,10.386995
43.75,12.25,1985,8.436711
43.75,12.25,1986,11.331994
43.75,12.25,1987,10.3599205
43.75,12.25,1988,9.679562
43.75,12.25,1989,10.805558
43.75,12.25,1990,10.813338
43.75,12.25,1991,10.052414
43.75,12.25,1992,12.049031
43.75,12.25,1993,12.166222
43.75,12.25,1994,12.654297
43.75,12.25,1995,13.579905
43.75,12.25,1996,13.182535
43.75,12.25,1997,13.539731
43.75,12.25,1998,12.215276
43.75,12.25,1999,14.349084
43.75,12.25,2000,12.903233
43.75,12.25,2001,12.550413
43.75,12.25,2002,13.700252
43.75,12.25,2003,10.328343
43.75,12.25,2004,13.631329
43.75,12.25,2005,13.343089
43.75,12.25,2006,12.310681
43.75,12.25,2007,11.425924
43.75,12.25,2008,13.244232
43.75,12.25,2009,12.279324
43.75,12.25,2010,13.232971
43.75,12.25,2011,13.374756
43.75,12.25,2012,11.952649
43.75,12.25,2013,13.196612
43.75,12.25,2014,15.481664
43.75,12.25,2015,13.971738
43.75,12.25,2016,15.269319
44.25,6.75,1982,4.623395
44.25,6.75,1983,4.611639
44.25,6.75,1984,3.9521432
44.25,6.75,1985,5.707234
44.25,6.75,1986,4.419776
44.25,6.75,1987,5.979317
44.25,6.75,1988,5.825632
44.25,6.75,1989,5.886028
44.25,6.75,1990,5.1294246
44.25,6.75,1991,6.080171
44.25,6.75,1992,5.750597
44.25,6.75,1993,7.243155
44.25,6.75,1994,7.291387
44.25,6.75,1995,6.73921
44.25,6.75,1996,6.908524
44.25,6.75,1997,9.301863
44.25,6.75,1998,7.3282213
44.25,6.75,1999,8.161449
44.25,6.75,2000,8.674846
44.25,6.75,2001,7.44235
44.25,6.75,2002,7.9572277
44.25,6.75,2003,6.5870137
44.25,6.75,2004,8.279416
44.25,6.75,2005,7.84974
44.25,6.75,2006,8.269001
44.25,6.75,2007,8.978598
44.25,6.75,2008,7.6570053
44.25,6.75,2009,8.133558
44.25,6.75,2010,7.265375
44.25,6.75,2011,9.40475
44.25,6.75,2012,7.8404403
44.25,6.75,2013,5.7625527
44.25,6.75,2014,7.6578727
44.25,6.75,2015,6.970556
44.25,6.75,2016,7.3050027
44.25,7.25,1982,9.7270155
44.25,7.25,1983,10.491192
44.25,7.25,1984,9.173004
44.25,7.25,1985,9.336946
44.25,7.25,1986,9.386203
44.25,7.25,1987,10.644662
44.25,7.25,1988,10.373955
44.25,7.25,1989,11.701511
44.25,7.25,1990,11.650142
44.25,7.25,1991,10.559614
44.25,7.25,1992,12.242355
44.25,7.25,1993,13.239369
44.25,7.25,1994,12.787732
44.25,7.25,1995,14.445011
44.25,7.25,1996,12.749429
44.25,7.25,1997,14.659699
44.25,7.25,1998,13.42089
44.25,7.25,1999,13.040416
44.25,7.25,2000,13.341751
44.25,7.25,2001,14.051536
44.25,7.25,2002,13.664462
44.25,7.25,2003,11.499991
44.25,7.25,2004,13.186223
44.25,7.25,2005,13.230223
44.25,7.25,2006,13.11544
44.25,7.25,2007,14.661213
44.25,7.25,2008,13.554911
44.25,7.25,2009,13.2558365
44.25,7.25,2010,11.325153
44.25,7.25,2011,13.945974
44.25,7.25,2012,12.286255
44.25,7.25,2013,11.995116
44.25,7.25,2014,14.355372
44.25,7.25,2015,13.922652
44.25,7.25,2016,13.98317
44.25,7.75,1982,10.690034
44.25,7.75,1983,11.344443
44.25,7.75,1984,10.324038
44.25,7.75,1985,10.378999
44.25,7.75,1986,10.905809
44.25,7.75,1987,11.6316805
44.25,7.75,1988,11.046546
44.25,7.75,1989,11.784702
